grid_size,average_reward_per_step,average_steps,won_games
7,0.7466918714555766,35.18,80
7,3.5972222222222228,35.18,80
7,6.3061224489795915,35.18,80
7,0.3697978596908443,35.18,80
7,-2.87,35.18,80
7,3.7,35.18,80
7,3.5138888888888893,35.18,80
7,3.504132231404959,35.18,80
7,-0.09695290858725757,35.18,80
7,-0.37,35.18,80
7,1.3305785123966942,35.18,80
7,-2.66,35.18,80
7,1.0858725761772854,35.18,80
7,2.3,35.18,80
7,1.3209876543209877,35.18,80
7,-0.09695290858725757,35.18,80
7,-2.48,35.18,80
7,0.25273922571219865,35.18,80
7,0.08125,35.18,80
7,-0.16,35.18,80
7,4.950617283950617,35.18,80
7,0.25273922571219865,35.18,80
7,-0.007653061224489832,35.18,80
7,3.8,35.18,80
7,1.2098765432098766,35.18,80
7,9.0,35.18,80
7,1.5069252077562327,35.18,80
7,2.5078125,35.18,80
7,-0.5312314098750743,35.18,80
7,1.425,35.18,80
7,0.6848072562358276,35.18,80
7,-0.54,35.18,80
7,-2.63,35.18,80
7,2.513888888888889,35.18,80
7,-0.11479591836734697,35.18,80
7,6.3061224489795915,35.18,80
7,2.826530612244898,35.18,80
7,0.9970414201183432,35.18,80
7,1.675,35.18,80
7,-0.3350676378772112,35.18,80
7,-0.53,35.18,80
7,4.53125,35.18,80
7,4.5,35.18,80
7,16.555555555555557,35.18,80
7,2.1141868512110724,35.18,80
7,0.4970414201183432,35.18,80
7,-2.74,35.18,80
7,2.7768595041322315,35.18,80
7,1.7654320987654322,35.18,80
7,1.5259515570934254,35.18,80
7,-2.63,35.18,80
7,2.1555555555555554,35.18,80
7,0.055555555555555594,35.18,80
7,1.3494809688581315,35.18,80
7,16.555555555555557,35.18,80
7,1.16,35.18,80
7,3.8,35.18,80
7,-0.07956104252400552,35.18,80
7,-2.57,35.18,80
7,11.625,35.18,80
7,-2.7,35.18,80
7,0.9806094182825484,35.18,80
7,0.05202913631633716,35.18,80
7,1.559556786703601,35.18,80
7,-2.94,35.18,80
7,-0.69,35.18,80
7,1.5419501133786848,35.18,80
7,0.2778355879292404,35.18,80
7,-2.89,35.18,80
7,-0.64,35.18,80
7,2.5266272189349115,35.18,80
7,9.0,35.18,80
7,7.388888888888889,35.18,80
7,1.256235827664399,35.18,80
7,-2.46,35.18,80
7,-2.4,35.18,80
7,-2.52,35.18,80
7,5.15625,35.18,80
7,0.9201388888888888,35.18,80
7,0.9669421487603306,35.18,80
7,1.0945179584120983,35.18,80
7,1.3490304709141274,35.18,80
7,4.950617283950617,35.18,80
7,-2.74,35.18,80
7,0.6352040816326531,35.18,80
7,0.04855371900826447,35.18,80
7,2.222222222222222,35.18,80
7,10.375,35.18,80
7,-1.76,35.18,80
7,1.5703125,35.18,80
7,0.7780612244897959,35.18,80
7,3.3,35.18,80
8,3.1,58.79,53
8,1.996539792387543,58.79,53
8,2.1420118343195265,58.79,53
8,-2.72,58.79,53
8,2.0858725761772856,58.79,53
8,-2.6,58.79,53
8,-1.44,58.79,53
8,16.555555555555557,58.79,53
8,0.48888888888888893,58.79,53
8,0.29513888888888884,58.79,53
8,0.058439061899269514,58.79,53
8,-2.81,58.79,53
8,3.0495867768595044,58.79,53
8,-1.82,58.79,53
8,0.727810650887574,58.79,53
8,-2.65,58.79,53
8,1.0510396975425331,58.79,53
8,2.1141868512110724,58.79,53
8,1.3494809688581315,58.79,53
8,-2.93,58.79,53
8,-2.48,58.79,53
8,3.283950617283951,58.79,53
8,0.8888888888888888,58.79,53
8,2.0703125,58.79,53
8,2.4132231404958677,58.79,53
8,2.8472222222222228,58.79,53
8,-2.96,58.79,53
8,-2.52,58.79,53
8,1.4876543209876543,58.79,53
8,3.9,58.79,53
8,9.0,58.79,53
8,-2.56,58.79,53
8,-2.79,58.79,53
8,4.061728395061729,58.79,53
8,1.5078125,58.79,53
8,-2.73,58.79,53
8,2.5,58.79,53
8,0.49795918367346936,58.79,53
8,-2.98,58.79,53
8,-2.99,58.79,53
8,-2.54,58.79,53
8,4.5,58.79,53
8,0.1610782380013149,58.79,53
8,-2.75,58.79,53
8,0.002469135802469127,58.79,53
8,1.422222222222222,58.79,53
8,-1.96,58.79,53
8,-0.43184183142559834,58.79,53
8,-0.53,58.79,53
8,1.296398891966759,58.79,53
8,3.0703125,58.79,53
8,-1.84,58.79,53
8,-1.89,58.79,53
