grid_size,average_reward_per_step,average_steps,won_games
6,2.4497041420118344,13.31,96
7,-0.51,20.26,93
7,1.4305555555555556,20.26,93
7,4.448979591836735,20.26,93
7,0.7174515235457064,20.26,93
7,1.5555555555555556,20.26,93
7,2.5972222222222223,20.26,93
7,2.1555555555555554,20.26,93
7,-2.75,20.26,93
7,2.3727810650887573,20.26,93
7,0.29513888888888884,20.26,93
7,1.7,20.26,93
7,0.14880332986472425,20.26,93
7,0.6162570888468809,20.26,93
7,0.5895691609977324,20.26,93
7,0.7800453514739228,20.26,93
7,1.1609977324263039,20.26,93
7,1.8828125,20.26,93
7,0.8784722222222222,20.26,93
7,14.888888888888891,20.26,93
7,1.9555555555555555,20.26,93
7,1.1953125,20.26,93
7,0.7534722222222222,20.26,93
7,0.7612456747404844,20.26,93
7,4.448979591836735,20.26,93
7,3.4132231404958677,20.26,93
7,0.7098765432098766,20.26,93
7,1.8222222222222222,20.26,93
7,0.7174515235457064,20.26,93
7,10.375,20.26,93
7,2.958677685950413,20.26,93
7,-2.99,20.26,93
7,4.0,20.26,93
7,2.5,20.26,93
7,2.504132231404959,20.26,93
7,3.4,20.26,93
7,2.59504132231405,20.26,93
7,1.5703125,20.26,93
7,-0.57,20.26,93
7,-2.89,20.26,93
7,2.1420118343195265,20.26,93
7,4.0,20.26,93
7,10.375,20.26,93
7,0.5419501133786847,20.26,93
7,14.888888888888891,20.26,93
7,3.283950617283951,20.26,93
7,2.7638888888888893,20.26,93
7,2.8,20.26,93
7,2.7,20.26,93
7,3.322314049586777,20.26,93
7,0.09393579072532704,20.26,93
7,10.375,20.26,93
7,1.5259515570934257,20.26,93
7,8.0,20.26,93
7,1.8203125,20.26,93
7,0.8336483931947071,20.26,93
7,-0.46614069690992765,20.26,93
7,3.40625,20.26,93
7,1.025,20.26,93
7,0.8200692041522492,20.26,93
7,8.0,20.26,93
7,1.3555555555555554,20.26,93
7,2.0972222222222223,20.26,93
7,26.0,20.26,93
7,0.5739644970414202,20.26,93
7,4.90625,20.26,93
7,1.3979591836734695,20.26,93
7,3.0,20.26,93
7,1.103305785123967,20.26,93
7,3.2,20.26,93
7,3.1,20.26,93
7,4.40625,20.26,93
